2026-08-26 10:39:41 | INFO    | cicps | Logging to D:\Projects\cicps-augmentation\outputs\experiment_0b\logs\analyze.log
2026-08-26 10:39:41 | INFO    | cicps.analyze_policies | Configuration: D:\Projects\cicps-augmentation\config\experiment_0b.yaml
2026-08-26 10:39:41 | INFO    | cicps.analyze_policies | Experiment: experiment_0b
2026-08-26 10:39:41 | INFO    | cicps.policies | Loaded 6 policy run row(s) from D:\Projects\cicps-augmentation\outputs\experiment_0b\logs\train_runs.csv
2026-08-26 10:39:41 | INFO    | cicps.policies | Built policy summary for 6 policy(ies).
2026-08-26 10:39:41 | INFO    | cicps.policies | Loaded Experiment 0A summary from D:\Projects\cicps-augmentation\outputs\experiment_0a\analysis\transformation_summary.csv (7 transformation(s), read-only).
2026-08-26 10:39:41 | INFO    | cicps.policies | Joined 5 policy arm(s) to Experiment 0A transformations.
2026-08-26 10:39:41 | INFO    | cicps.records | Wrote 6 row(s) x 42 column(s) to D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\policy_summary.csv
2026-08-26 10:39:41 | INFO    | cicps.records | Wrote 5 row(s) x 53 column(s) to D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\joined_0a_0b_summary.csv
2026-08-26 10:39:41 | INFO    | cicps.records | Wrote 4 row(s) x 6 column(s) to D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\association_exploratory.csv
2026-08-26 10:39:41 | INFO    | cicps.analyze_policies |   EXPLORATORY pearson(delta_margin_mean, delta_best_val_top1_vs_baseline) = 0.2000 over n=5 transformation(s) - descriptive only, no significance test was run.
2026-08-26 10:39:41 | INFO    | cicps.analyze_policies |   EXPLORATORY spearman(delta_margin_mean, delta_best_val_top1_vs_baseline) = 0.2000 over n=5 transformation(s) - descriptive only, no significance test was run.
2026-08-26 10:39:41 | INFO    | cicps.analyze_policies |   EXPLORATORY pearson(delta_margin_mean, best_val_top1) = 0.2000 over n=5 transformation(s) - descriptive only, no significance test was run.
2026-08-26 10:39:41 | INFO    | cicps.analyze_policies |   EXPLORATORY spearman(delta_margin_mean, best_val_top1) = 0.2000 over n=5 transformation(s) - descriptive only, no significance test was run.
2026-08-26 10:39:41 | INFO    | cicps.policies | Loaded per-epoch history for 6 policy(ies).
2026-08-26 10:39:42 | INFO    | cicps.policy_plots | Wrote plot D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\plots\validation_top1_by_policy.png
2026-08-26 10:39:42 | INFO    | cicps.policy_plots | Wrote plot D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\plots\validation_top5_by_policy.png
2026-08-26 10:39:42 | INFO    | cicps.policy_plots | Wrote plot D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\plots\validation_curves.png
2026-08-26 10:39:43 | INFO    | cicps.policy_plots | Wrote plot D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\plots\training_curves.png
2026-08-26 10:39:43 | INFO    | cicps.policy_plots | Wrote plot D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\plots\delta_margin_vs_accuracy_delta.png
2026-08-26 10:39:44 | INFO    | cicps.policy_plots | Wrote plot D:\Projects\cicps-augmentation\outputs\experiment_0b\analysis\plots\delta_margin_vs_accuracy.png
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies | Policy summary (reference arm: baseline):
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |                    policy     audit_transform       seed  best_epoch  best_val_top1  best_val_top5  best_val_loss  delta_best_val_top1_vs_baseline
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |                  baseline                 NaN 1880975077          13        0.78167        0.93000        0.91867                          0.00000
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |     baseline_color_jitter        color_jitter  503065231          15        0.73833        0.91833        1.00687                         -0.04333
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |         baseline_rotation            rotation   69590260          14        0.76000        0.93833        0.97095                         -0.02167
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |             baseline_crop random_resized_crop 1179721965          18        0.78667        0.94167        0.87328                          0.00500
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |    baseline_gaussian_blur       gaussian_blur 1659421884          18        0.77000        0.93667        0.96378                         -0.01167
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |   baseline_random_erasing      random_erasing 1505275385          18        0.75833        0.92667        0.98032                         -0.02333
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies | Experiment 0A evidence joined to Experiment 0B outcome:
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |       audit_transform  delta_margin_mean  delta_margin_median  frac_delta_negative  best_val_top1  delta_best_val_top1_vs_baseline
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |          color_jitter           -0.14534             -0.04407              0.68333        0.73833                         -0.04333
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |              rotation           -0.00716             -0.00070              0.53000        0.76000                         -0.02167
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |   random_resized_crop           -0.05927             -0.00462              0.56833        0.78667                          0.00500
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |         gaussian_blur           -0.21115             -0.14582              0.71333        0.77000                         -0.01167
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies |        random_erasing           -0.12161             -0.01488              0.65000        0.75833                         -0.02333
2026-08-26 10:39:44 | INFO    | cicps.analyze_policies | Analysis complete. These are descriptive statistics over 5 transformation(s). Experiment 0B tests whether the 0A phenomenon has downstream relevance; an association between mean delta_margin and validation accuracy is NOT evidence that margin damage causes the downstream change.
