checkpoint,transform,n_samples,n_images,n_degenerate,grad_cosine_mean,grad_cosine_median,grad_cosine_std,grad_cosine_min,grad_cosine_max,grad_cosine_ci_low,grad_cosine_ci_high,frac_cosine_negative,grad_norm_ratio_mean,grad_norm_ratio_median,grad_norm_ratio_std,frac_norm_ratio_above_one,clean_grad_norm_mean,transformed_grad_norm_mean,clean_loss_mean,transformed_loss_mean,delta_loss_mean,clean_margin_mean,transformed_margin_mean,delta_margin_mean,delta_margin_median,frac_delta_margin_negative,feature_cosine_mean,prediction_consistency_rate,accuracy_clean,accuracy_transformed,accuracy_delta,grad_cosine_q01,grad_norm_ratio_q01,grad_cosine_q05,grad_norm_ratio_q05,grad_cosine_q25,grad_norm_ratio_q25,grad_cosine_q5,grad_norm_ratio_q5,grad_cosine_q75,grad_norm_ratio_q75,grad_cosine_q95,grad_norm_ratio_q95,grad_cosine_q99,grad_norm_ratio_q99,grad_cosine_mean_full,grad_norm_ratio_mean_full,grad_cosine_mean_backbone,grad_norm_ratio_mean_backbone,grad_cosine_mean_head,grad_norm_ratio_mean_head,grad_cosine_mean_stem,grad_norm_ratio_mean_stem,grad_cosine_mean_layer1,grad_norm_ratio_mean_layer1,grad_cosine_mean_layer2,grad_norm_ratio_mean_layer2,grad_cosine_mean_layer3,grad_norm_ratio_mean_layer3,grad_cosine_mean_layer4,grad_norm_ratio_mean_layer4
init,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,51.247248,51.247248,5.5722419,5.5722419,0,-0.023497011,-0.023497011,0,0,0,0.99999999,1,0.0066666667,0.0066666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
init,horizontal_flip,600,600,0,0.67156273,0.67328502,0.041021196,0.49463464,0.90566189,0.66835174,0.67495833,0,1.002732,0.99842559,0.072269514,0.49333333,51.247248,51.198307,5.5722419,5.5587104,-0.013531495,-0.023497011,-0.021281436,0.0022155753,0.0019823165,0.36333333,0.95904875,0.64666667,0.0066666667,0.0066666667,0,0.58236743,0.85853919,0.60558249,0.88954849,0.64516529,0.95306725,0.67328502,0.99842559,0.69733968,1.0515016,0.73962098,1.1282631,0.76043948,1.1755111,0.67156273,1.002732,0.54810581,1.0039909,0.95893075,1.0014745,0.33596107,1.0239779,0.37235895,1.0156567,0.47440745,1.0069721,0.44300039,1.0046097,0.67602751,1.0039655
init,color_jitter,600,600,0,0.80905433,0.81604115,0.078030898,0.50829802,0.95851981,0.80269111,0.81508448,0,1.0325672,1.0286875,0.063532564,0.66833333,51.247248,52.7878,5.5722419,5.5762045,0.0039625886,-0.023497011,-0.021941263,0.0015557478,0.0014402145,0.38666667,0.9558614,0.64333333,0.0066666667,0.0083333333,0.0016666667,0.59559986,0.90022801,0.66987673,0.94073994,0.7618599,0.98831374,0.81604115,1.0286875,0.8665621,1.0707123,0.91909668,1.1467539,0.94533549,1.2116054,0.80905433,1.0325672,0.74863905,1.0430826,0.95573909,1.0090593,0.587507,1.1566679,0.62619263,1.0777365,0.70655542,1.0644777,0.71188389,1.0416956,0.82398952,1.0225734
init,rotation,600,600,0,0.73861093,0.73606084,0.07408894,0.55057525,0.98838116,0.7329117,0.74447672,0,1.0263248,1.0200464,0.078688224,0.61166667,51.247248,52.323709,5.5722419,5.5645593,-0.0076825594,-0.023497011,-0.020998925,0.0024980863,0.0021628402,0.34166667,0.94322861,0.60666667,0.0066666667,0.005,-0.0016666667,0.58762112,0.86615744,0.62685572,0.90520762,0.68310202,0.97265758,0.73606084,1.0200464,0.78859434,1.0740403,0.86458904,1.1724827,0.92461428,1.2373254,0.73861093,1.0263248,0.65120689,1.0288131,0.9430668,1.0233445,0.49052498,1.1092435,0.52691992,1.0390508,0.58709211,1.0292047,0.57617832,1.0335602,0.74522116,1.0249322
init,random_resized_crop,600,600,0,0.71489508,0.71793504,0.064668181,0.4568403,0.86632885,0.70995612,0.72021736,0,1.0352056,1.0307654,0.091379653,0.64,51.247248,52.767005,5.5722419,5.5718099,-0.00043194287,-0.023497011,-0.022420892,0.0010761189,0.0013137961,0.43333333,0.94487169,0.63333333,0.0066666667,0.0083333333,0.0016666667,0.55987097,0.80813053,0.60730551,0.89848583,0.67202956,0.9768233,0.71793504,1.0307654,0.7586842,1.0930852,0.81572233,1.1849032,0.85047719,1.2614343,0.71489508,1.0352056,0.61914619,1.0458119,0.94471626,1.0124526,0.45294802,1.1802224,0.48124471,1.1021166,0.56013406,1.0828931,0.54305494,1.0432653,0.72157908,1.0137762
init,gaussian_blur,600,600,0,0.64881454,0.65291789,0.087409479,0.33124696,0.85466863,0.64213163,0.65609207,0,1.1002658,1.0927567,0.13986878,0.76166667,51.247248,55.811393,5.5722419,5.5438953,-0.028346566,-0.023497011,-0.020399519,0.0030974925,0.0030099557,0.355,0.90731715,0.54666667,0.0066666667,0.0066666667,0,0.44202272,0.81459673,0.50219427,0.89378906,0.59060348,1.0033547,0.65291789,1.0927567,0.71500961,1.1789023,0.78080243,1.3216155,0.82420162,1.471657,0.64881454,1.1002658,0.55229714,1.137797,0.90709114,1.0094533,0.32089182,1.3173865,0.39059645,1.2473431,0.48091158,1.2615557,0.50019975,1.1639967,0.68018127,1.0413582
init,random_erasing,600,600,0,0.75996165,0.78183612,0.11726014,0.40573609,0.96064728,0.75068184,0.76918731,0,1.0770996,1.0630149,0.10306737,0.77,51.247248,54.824352,5.5722419,5.5970686,0.024826744,-0.023497011,-0.022515564,0.00098144755,0.0012458676,0.42666667,0.9295288,0.62,0.0066666667,0.0066666667,0,0.45437496,0.8854805,0.53952437,0.9356234,0.68363522,1.0045894,0.78183612,1.0630149,0.85190623,1.1350174,0.91448849,1.2722194,0.9408131,1.3635986,0.75996165,1.0770996,0.68981299,1.0886764,0.92933182,1.0535869,0.62954893,1.0786916,0.6312214,1.1132139,0.65821904,1.113232,0.63740078,1.0945229,0.73960574,1.0784764
experiment_0a_best,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,59.945426,59.945426,0.94612601,0.94612601,0,0.49816053,0.49816053,0,0,0,0.99999999,1,0.76166667,0.76166667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
experiment_0a_best,horizontal_flip,600,600,0,0.64948868,0.65660357,0.076525261,0.3252718,0.82854867,0.64356619,0.65569441,0,1.4392599,1.0087052,1.9885708,0.50833333,59.945426,58.171051,0.94612601,0.90725017,-0.038875841,0.49816053,0.53301345,0.034852921,0.0012491509,0.445,0.9618651,0.88333333,0.76166667,0.78,0.018333333,0.39965575,0.075867965,0.51714048,0.17469344,0.60473086,0.60734631,0.65660357,1.0087052,0.70010629,1.5091661,0.76270466,4.3004315,0.80169945,9.1292371,0.64948868,1.4392599,0.6378543,1.4415982,0.9387933,1.3913382,0.54688089,1.4754261,0.58224837,1.4771588,0.62817824,1.4533034,0.61179142,1.447648,0.72558173,1.4107587
experiment_0a_best,color_jitter,600,600,0,0.68125815,0.72455092,0.17804913,-0.036841849,0.96583152,0.66709737,0.69562251,0.0016666667,43.804593,1.7111691,620.61241,0.73666667,59.945426,88.897643,0.94612601,1.6745648,0.72843875,0.49816053,0.35283453,-0.14532601,-0.043907152,0.68333333,0.91853133,0.695,0.76166667,0.6,-0.16166667,0.17105195,0.1580666,0.32920985,0.44307016,0.58442233,0.98200265,0.72455092,1.7111691,0.8145017,6.2737316,0.90642109,70.252491,0.93908661,446.41717,0.68125815,43.804593,0.67438043,44.505428,0.86713456,32.319486,0.5723479,55.099921,0.61624829,56.612208,0.67518188,48.495473,0.68425266,41.046731,0.73283183,35.014547
