checkpoint,checkpoint_kind,checkpoint_epoch,checkpoint_policy,image_id,image_path,true_class,true_label,true_class_name,hard_competitor,hard_competitor_label,transform,transform_type,realisation,transform_params,clean_loss,transformed_loss,delta_loss,clean_true_prob,transformed_true_prob,clean_competitor_prob,transformed_competitor_prob,clean_margin,transformed_margin,delta_margin,grad_cosine,grad_norm_ratio,clean_grad_norm,transformed_grad_norm,grad_degenerate,feature_cosine,prediction_consistent,correct_clean,correct_transformed,cosine_full,norm_ratio_full,clean_norm_full,transformed_norm_full,cosine_backbone,norm_ratio_backbone,clean_norm_backbone,transformed_norm_backbone,cosine_head,norm_ratio_head,clean_norm_head,transformed_norm_head,cosine_stem,norm_ratio_stem,clean_norm_stem,transformed_norm_stem,cosine_layer1,norm_ratio_layer1,clean_norm_layer1,transformed_norm_layer1,cosine_layer2,norm_ratio_layer2,clean_norm_layer2,transformed_norm_layer2,cosine_layer3,norm_ratio_layer3,clean_norm_layer3,transformed_norm_layer3,cosine_layer4,norm_ratio_layer4,clean_norm_layer4,transformed_norm_layer4,delta_margin_0a,original_margin_0a,augmented_margin_0a,feature_cosine_0a,hard_competitor_0a
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,identity,identity,0,{},2.3096535,2.3096535,0,0.099295661,0.099295661,0.62241709,0.62241709,-0.52312143,-0.52312143,0,1,1,198.63606,198.63606,False,1,True,False,False,1,1,198.63606,198.63606,1,1,195.55213,195.55213,1,1,34.86612,34.86612,1,1,44.303588,44.303588,1,1,109.76283,109.76283,1,1,104.56792,104.56792,1,1,83.683719,83.683719,1,1,79.325499,79.325499,0,-0.52145956,-0.52145956,1,69
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,horizontal_flip,horizontal_flip,0,"{""flipped"":true}",2.3096535,4.4373636,2.1277101,0.099295661,0.011827076,0.62241709,0.93692917,-0.52312143,-0.92510209,-0.40198066,0.68946456,1.2823727,198.63606,254.72546,False,0.95897573,True,False,False,0.68946456,1.2823727,198.63606,254.72546,0.68167494,1.2823544,195.55213,250.76715,0.93438961,1.2829473,34.86612,44.731393,0.76799166,1.1491393,44.303588,50.910995,0.72447159,1.255121,109.76283,137.76563,0.65680577,1.3208858,104.56792,138.12228,0.60341888,1.2780088,83.683719,106.94853,0.71018281,1.3099085,79.325499,103.90914,-0.40342919,-0.52145956,-0.92488876,0.95894048,69
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,color_jitter,color_jitter,0,"{""brightness"":0.675779,""contrast"":0.930573,""hue"":-0.018551,""saturation"":0.613646}",2.3096535,1.0566363,-1.2530172,0.099295661,0.34762314,0.62241709,0.32393143,-0.52312143,0.023691714,0.54681315,0.77400426,0.67064272,198.63606,133.21383,False,0.94556439,False,False,True,0.77400426,0.67064272,198.63606,133.21383,0.76902689,0.67098893,195.55213,131.21332,0.93337566,0.65965921,34.86612,22.999757,0.25190213,0.82452364,44.303588,36.529356,0.82099735,0.6693178,109.76283,73.466218,0.81441896,0.64576181,104.56792,67.525971,0.77073467,0.68719794,83.683719,57.507279,0.79935049,0.64506902,79.325499,51.170421,0.54688616,-0.52145956,0.025426596,0.94553828,69
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,rotation,rotation,0,"{""angle"":-12.795946}",2.3096535,1.8718897,-0.43776381,0.099295661,0.15383269,0.62241709,0.62429237,-0.52312143,-0.47045968,0.052661747,0.76677889,1.0584375,198.63606,210.24386,False,0.94630277,True,False,False,0.76677889,1.0584375,198.63606,210.24386,0.76231307,1.0629554,195.55213,207.8632,0.94149931,0.90487475,34.86612,31.549471,0.78200084,1.158117,44.303588,51.308737,0.80435911,1.0593428,109.76283,116.27646,0.75075688,1.0460204,104.56792,109.38018,0.71108678,1.1141486,83.683719,93.236099,0.75779888,1.0082912,79.325499,79.983199,0.052171901,-0.52145956,-0.46928766,0.94628634,69
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,random_resized_crop,random_resized_crop,0,"{""area_fraction"":0.5383,""aspect"":1.218286,""fallback"":false,""height"":0.664718,""left"":0.074977,""top"":0.165915,""width"":0.809817}",2.3096535,0.18687633,-2.1227772,0.099295661,0.82954633,0.62241709,0.038982656,-0.52312143,0.79056368,1.3136851,0.62493993,0.19472639,198.63606,38.679682,False,0.87716198,False,False,True,0.62493993,0.19472639,198.63606,38.679682,0.62060612,0.19575907,195.55213,38.281104,0.80628542,0.15885019,34.86612,5.5384899,0.59310574,0.25267991,44.303588,11.194627,0.73528637,0.1895381,109.76283,20.804238,0.54962628,0.19179255,104.56792,20.055349,0.55154104,0.19755873,83.683719,16.532449,0.62677106,0.19191723,79.325499,15.22393,1.3120706,-0.52145956,0.79061105,0.87716519,69
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,gaussian_blur,gaussian_blur,0,"{""sigma"":1.766447}",2.3096535,3.60006,1.2904065,0.099295661,0.02732208,0.62241709,0.07712394,-0.52312143,-0.04980186,0.47331957,0.43920086,1.3633719,198.63606,270.81483,False,0.76894569,False,False,False,0.43920086,1.3633719,198.63606,270.81483,0.43687262,1.3757704,195.55213,269.03483,0.59416143,0.88908269,34.86612,30.998864,-0.027037358,1.4222768,44.303588,63.011966,0.51376289,1.172996,109.76283,128.75136,0.51330784,1.4992482,104.56792,156.77327,0.37108449,1.6014346,83.683719,134.014,0.42135745,1.2153604,79.325499,96.409066,0.47173234,-0.52145956,-0.049727228,0.76895199,69
experiment_0a_best,file,16,,3891,067.Anna_Hummingbird/Anna_Hummingbird_0118_55773.jpg,67,66,067.Anna_Hummingbird,69,68,random_erasing,random_erasing,0,"{""area_fraction"":0.197925,""erased"":true,""height"":0.732068,""left"":0.283798,""top"":0.16117,""width"":0.270365}",2.3096535,1.1812887,-1.1283648,0.099295661,0.30688301,0.62241709,0.023655731,-0.52312143,0.28322728,0.80634871,0.37770189,0.58596944,198.63606,116.39466,False,0.7785027,False,False,True,0.37770189,0.58596944,198.63606,116.39466,0.37005571,0.58778887,195.55213,114.94337,0.64902717,0.52552968,34.86612,18.323181,0.11600641,0.46169549,44.303588,20.454767,0.35522163,0.46756454,109.76283,51.321207,0.38714498,0.61175867,104.56792,63.970333,0.37542696,0.67835077,83.683719,56.766915,0.43453886,0.67240423,79.325499,53.338801,0.80504363,-0.52145956,0.28358406,0.77848368,69
experiment_0a_best,file,16,,5405,093.Clark_Nutcracker/Clark_Nutcracker_0011_85698.jpg,93,92,093.Clark_Nutcracker,19,18,identity,identity,0,{},0.0062068794,0.0062068794,0,0.99381232,0.99381232,0.0053875828,0.0053875828,0.98842474,0.98842474,0,1,1,1.2585422,1.2585422,False,1,True,True,True,1,1,1.2585422,1.2585422,1,1,1.2324179,1.2324179,1,1,0.25509688,0.25509688,1,1,0.46009412,0.46009412,1,1,0.56294514,0.56294514,1,1,0.59886106,0.59886106,1,1,0.59057549,0.59057549,1,1,0.5318328,0.5318328,0,0.98845197,0.98845197,1,19
experiment_0a_best,file,16,,5405,093.Clark_Nutcracker/Clark_Nutcracker_0011_85698.jpg,93,92,093.Clark_Nutcracker,19,18,horizontal_flip,horizontal_flip,0,"{""flipped"":true}",0.0062068794,0.001391396,-0.0048154833,0.99381232,0.99860954,0.0053875828,0.001177835,0.98842474,0.99743171,0.009006968,0.66753406,0.22226569,1.2585422,0.27973074,False,0.97867203,True,True,True,0.66753406,0.22226569,1.2585422,0.27973074,0.65274008,0.22101289,1.2324179,0.27238024,0.97788101,0.24972755,0.25509688,0.06370472,0.77393994,0.20859806,0.46009412,0.09597474,0.59546693,0.19893259,0.56294514,0.11198814,0.59510256,0.21802273,0.59886106,0.13056532,0.60734391,0.23517039,0.59057549,0.13888587,0.75650183,0.23859627,0.5318328,0.12689332,0.0089763787,0.98845197,0.99742835,0.9786728,19
experiment_0a_best,file,16,,5405,093.Clark_Nutcracker/Clark_Nutcracker_0011_85698.jpg,93,92,093.Clark_Nutcracker,19,18,color_jitter,color_jitter,0,"{""brightness"":0.713279,""contrast"":0.711295,""hue"":-0.014537,""saturation"":0.768784}",0.0062068794,0.047356535,0.041149655,0.99381232,0.95374727,0.0053875828,0.036460061,0.98842474,0.91728721,-0.071137528,0.8083476,7.2421899,1.2585422,9.1146013,False,0.96733177,True,True,True,0.8083476,7.2421899,1.2585422,9.1146013,0.80230919,7.2671226,1.2324179,8.9561321,0.96598043,6.6336888,0.25509688,1.6922333,0.85633098,6.087105,0.46009412,2.8006412,0.75466928,7.454092,0.56294514,4.1962449,0.79609645,7.8493856,0.59886106,4.7006914,0.80488935,7.0811761,0.59057549,4.1819691,0.84013045,7.3246598,0.5318328,3.8954943,-0.071477721,0.98845197,0.91697425,0.96730518,19
